ticker,PX_LAST,PX_BID,PX_ASK,VOLUME,OPEN_INT,IVOL_MID,DELTA,GAMMA,VEGA,RHO,OPT_UNDL_PX,BID_SIZE,ASK_SIZE,expiry,fetch_time,spot_price,strike,option_type,underlying
QQQ US 10/17/25 C525 Equity,60.650000,59.950000,60.710000,2.000000,228,23.847380,0.920534,0.018915,0.282773,0.004840,581.850000,36,93,20251017,2025-09-10 13:15:44.114376,480.0,525.0,C,QQQ
QQQ US 10/17/25 P525 Equity,1.910000,1.890000,1.910000,1298.000000,7402,24.402790,-0.086717,0.019833,0.300964,-0.000503,581.850000,181,60,20251017,2025-09-10 13:15:44.114376,480.0,525.0,P,QQQ
QQQ US 10/17/25 C528 Equity,56.580000,57.190000,57.870000,1.000000,7,23.735970,0.915591,0.020657,0.295324,0.004827,581.850000,60,70,20251017,2025-09-10 13:15:44.114376,480.0,528.0,C,QQQ
QQQ US 10/17/25 P528 Equity,2.000000,2.060000,2.070000,322.000000,1097,23.935070,-0.093274,0.021410,0.317932,-0.000544,581.850000,61,10,20251017,2025-09-10 13:15:44.114376,480.0,528.0,P,QQQ
QQQ US 10/17/25 C505 Equity,79.860000,79.040000,79.860000,1.000000,56,26.617920,0.954755,0.010812,0.181995,0.004843,581.850000,25,25,20251017,2025-09-10 13:15:44.114376,480.0,505.0,C,QQQ
QQQ US 10/17/25 P505 Equity,1.150000,1.120000,1.130000,341.000000,26245,27.556800,-0.049397,0.011391,0.195056,-0.000294,581.850000,108,142,20251017,2025-09-10 13:15:44.114376,480.0,505.0,P,QQQ
QQQ US 10/17/25 C508 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,508.0,C,QQQ
QQQ US 10/17/25 P508 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,508.0,P,QQQ
QQQ US 10/17/25 C510 Equity,75.540000,74.220000,75.070000,3.000000,128,25.897950,0.937275,0.013589,0.235281,0.004778,581.850000,25,25,20251017,2025-09-10 13:15:44.114376,480.0,510.0,C,QQQ
QQQ US 10/17/25 P510 Equity,1.270000,1.270000,1.280000,886.000000,25310,26.754180,-0.056690,0.013050,0.217213,-0.000333,581.850000,99,106,20251017,2025-09-10 13:15:44.114376,480.0,510.0,P,QQQ
QQQ US 10/17/25 C512 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,512.0,C,QQQ
QQQ US 10/17/25 P512 Equity,,,,,,,,,,,,,,20251017,2025-09-10 13:15:44.114376,480.0,512.0,P,QQQ
QQQ US 10/17/25 C515 Equity,70.210000,69.430000,70.230000,1.000000,76,25.233210,0.938675,0.014428,0.231317,0.004845,581.850000,25,15,20251017,2025-09-10 13:15:44.114376,480.0,515.0,C,QQQ
QQQ US 10/17/25 P515 Equity,1.460000,1.450000,1.460000,520.000000,13251,25.961780,-0.065508,0.015068,0.243146,-0.000383,581.850000,37,136,20251017,2025-09-10 13:15:44.114376,480.0,515.0,P,QQQ
QQQ US 10/17/25 C530 Equity,56.120000,55.350000,56.000000,12.000000,155,23.317450,0.896970,0.022724,0.342058,0.004732,581.850000,93,68,20251017,2025-09-10 13:15:44.114376,480.0,530.0,C,QQQ
QQQ US 10/17/25 P530 Equity,2.170000,2.180000,2.190000,2583.000000,19313,23.628960,-0.099177,0.022650,0.332543,-0.000575,581.850000,36,32,20251017,2025-09-10 13:15:44.114376,480.0,530.0,P,QQQ
QQQ US 11/21/25 C442 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,442.0,C,QQQ
QQQ US 11/21/25 P442 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,442.0,P,QQQ
QQQ US 11/21/25 C445 Equity,121.300000,139.160000,142.590000,3.000000,206,32.686960,1.000000,0.000000,0.000000,0.000000,581.880000,43,1,20251121,2025-09-10 13:15:51.440394,480.0,445.0,C,QQQ
QQQ US 11/21/25 P445 Equity,1.090000,1.120000,1.130000,11.000000,1201,33.748900,-0.030677,0.004556,0.183262,-0.000361,581.880000,45,114,20251121,2025-09-10 13:15:51.440394,480.0,445.0,P,QQQ
QQQ US 11/21/25 C448 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,448.0,C,QQQ
QQQ US 11/21/25 P448 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,448.0,P,QQQ
QQQ US 11/21/25 C450 Equity,136.480000,134.300000,137.780000,5.000000,196,32.424030,0.960490,0.005466,0.225837,0.008332,581.880000,43,5,20251121,2025-09-10 13:15:51.440394,480.0,450.0,C,QQQ
QQQ US 11/21/25 P450 Equity,1.200000,1.210000,1.230000,110.000000,6501,33.082570,-0.033007,0.004963,0.195068,-0.000394,581.880000,113,146,20251121,2025-09-10 13:15:51.440394,480.0,450.0,P,QQQ
QQQ US 11/21/25 C452 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,452.0,C,QQQ
QQQ US 11/21/25 P452 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,452.0,P,QQQ
QQQ US 11/21/25 C430 Equity,153.720000,153.790000,157.200000,1.000000,72,34.073150,1.000000,0.000000,0.000000,0.000000,581.850000,43,1,20251121,2025-09-10 13:15:51.440394,480.0,430.0,C,QQQ
QQQ US 11/21/25 P430 Equity,0.880000,0.880000,0.900000,39.000000,917,35.788820,-0.023480,0.003454,0.146688,-0.000279,581.850000,115,166,20251121,2025-09-10 13:15:51.440394,480.0,430.0,P,QQQ
QQQ US 11/21/25 C432 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,432.0,C,QQQ
QQQ US 11/21/25 P432 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,432.0,P,QQQ
QQQ US 11/21/25 C435 Equity,149.910000,148.910000,152.310000,3.000000,61,33.686880,0.973112,0.003870,0.168347,0.008777,581.850000,43,1,20251121,2025-09-10 13:15:51.440394,480.0,435.0,C,QQQ
QQQ US 11/21/25 P435 Equity,0.960000,0.950000,0.970000,5.000000,4334,35.094700,-0.025329,0.003732,0.157072,-0.000306,581.850000,115,142,20251121,2025-09-10 13:15:51.440394,480.0,435.0,P,QQQ
QQQ US 11/21/25 C438 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,438.0,C,QQQ
QQQ US 11/21/25 P438 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,438.0,P,QQQ
QQQ US 11/21/25 C440 Equity,139.150000,144.030000,147.440000,4.000000,108,33.382650,1.000000,0.000000,0.000000,0.000000,581.850000,43,1,20251121,2025-09-10 13:15:51.440394,480.0,440.0,C,QQQ
QQQ US 11/21/25 P440 Equity,1.020000,1.030000,1.050000,2.000000,1693,34.428560,-0.027823,0.004134,0.169234,-0.000331,581.850000,65,146,20251121,2025-09-10 13:15:51.440394,480.0,440.0,P,QQQ
QQQ US 11/21/25 C468 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,468.0,C,QQQ
QQQ US 11/21/25 P468 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,468.0,P,QQQ
QQQ US 11/21/25 C470 Equity,115.090000,116.400000,117.210000,1.000000,593,30.270450,0.961250,0.006525,0.222276,0.008737,581.900000,25,15,20251121,2025-09-10 13:15:51.440394,480.0,470.0,C,QQQ
QQQ US 11/21/25 P470 Equity,1.670000,1.700000,1.720000,55.000000,7516,30.495460,-0.047997,0.007276,0.264173,-0.000564,581.900000,58,80,20251121,2025-09-10 13:15:51.440394,480.0,470.0,P,QQQ
QQQ US 11/21/25 C472 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,472.0,C,QQQ
QQQ US 11/21/25 P472 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,472.0,P,QQQ
QQQ US 11/21/25 C475 Equity,111.770000,111.610000,112.410000,10.000000,223,29.853800,0.946478,0.008038,0.287723,0.008656,581.900000,25,10,20251121,2025-09-10 13:15:51.440394,480.0,475.0,C,QQQ
QQQ US 11/21/25 P475 Equity,1.840000,1.860000,1.880000,7.000000,5181,29.871300,-0.053068,0.008030,0.285876,-0.000618,581.900000,108,140,20251121,2025-09-10 13:15:51.440394,480.0,475.0,P,QQQ
QQQ US 11/21/25 C478 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,478.0,C,QQQ
QQQ US 11/21/25 P478 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,478.0,P,QQQ
QQQ US 11/21/25 C455 Equity,124.440000,129.450000,133.000000,2.000000,241,31.839690,1.000000,0.000000,0.000000,0.000000,581.900000,43,1,20251121,2025-09-10 13:15:51.440394,480.0,455.0,C,QQQ
QQQ US 11/21/25 P455 Equity,1.540000,1.310000,1.330000,4.000000,2242,32.427830,-0.036857,0.005506,0.213182,-0.000433,581.900000,71,69,20251121,2025-09-10 13:15:51.440394,480.0,455.0,P,QQQ
QQQ US 11/21/25 C458 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,458.0,C,QQQ
QQQ US 11/21/25 P458 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,458.0,P,QQQ
QQQ US 11/21/25 C460 Equity,127.640000,124.610000,128.250000,1.000000,1885,31.385160,0.959251,0.006027,0.232149,0.008524,581.900000,68,5,20251121,2025-09-10 13:15:51.440394,480.0,460.0,C,QQQ
QQQ US 11/21/25 P460 Equity,1.450000,1.430000,1.450000,9.000000,4099,31.766300,-0.040646,0.006093,0.230584,-0.000476,581.900000,110,142,20251121,2025-09-10 13:15:51.440394,480.0,460.0,P,QQQ
QQQ US 11/21/25 C462 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,462.0,C,QQQ
QQQ US 11/21/25 P462 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,462.0,P,QQQ
QQQ US 11/21/25 C465 Equity,114.330000,119.780000,123.510000,12.000000,590,31.023800,1.000000,0.000000,0.000000,0.000000,581.900000,43,1,20251121,2025-09-10 13:15:51.440394,480.0,465.0,C,QQQ
QQQ US 11/21/25 P465 Equity,1.560000,1.560000,1.580000,2061.000000,2570,31.136430,-0.043929,0.006645,0.245788,-0.000515,581.900000,55,143,20251121,2025-09-10 13:15:51.440394,480.0,465.0,P,QQQ
QQQ US 11/21/25 C492 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,492.0,C,QQQ
QQQ US 11/21/25 P492 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,492.0,P,QQQ
QQQ US 11/21/25 C495 Equity,91.500000,92.640000,93.390000,3.000000,595,27.372420,0.929307,0.011327,0.357667,0.008840,581.920100,25,15,20251121,2025-09-10 13:15:51.440394,480.0,495.0,C,QQQ
QQQ US 11/21/25 P495 Equity,2.700000,2.690000,2.710000,50.000000,3869,27.415030,-0.078742,0.011842,0.388238,-0.000902,581.920100,46,103,20251121,2025-09-10 13:15:51.440394,480.0,495.0,P,QQQ
QQQ US 11/21/25 C498 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,498.0,C,QQQ
QQQ US 11/21/25 P498 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,498.0,P,QQQ
QQQ US 11/21/25 C500 Equity,88.090000,87.930000,88.700000,12.000000,1326,26.645180,0.913143,0.012981,0.417730,0.008741,581.920100,25,25,20251121,2025-09-10 13:15:51.440394,480.0,500.0,C,QQQ
QQQ US 11/21/25 P500 Equity,2.960000,2.960000,2.980000,4368.000000,19818,26.814510,-0.086528,0.013034,0.416618,-0.000991,581.920100,35,135,20251121,2025-09-10 13:15:51.440394,480.0,500.0,P,QQQ
QQQ US 11/21/25 C502 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,502.0,C,QQQ
QQQ US 11/21/25 P502 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,502.0,P,QQQ
QQQ US 11/21/25 C480 Equity,105.330000,106.830000,107.620000,2.000000,685,28.344510,0.961529,0.007208,0.220934,0.008939,581.920100,25,15,20251121,2025-09-10 13:15:51.440394,480.0,480.0,C,QQQ
QQQ US 11/21/25 P480 Equity,2.060000,2.030000,2.050000,63.000000,6910,29.234270,-0.058375,0.008844,0.308480,-0.000682,581.920100,108,139,20251121,2025-09-10 13:15:51.440394,480.0,480.0,P,QQQ
QQQ US 11/21/25 C482 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,482.0,C,QQQ
QQQ US 11/21/25 P482 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,482.0,P,QQQ
QQQ US 11/21/25 C485 Equity,101.060000,102.080000,102.900000,1.000000,498,28.629480,0.943458,0.009132,0.300399,0.008821,581.920100,25,25,20251121,2025-09-10 13:15:51.440394,480.0,485.0,C,QQQ
QQQ US 11/21/25 P485 Equity,2.230000,2.230000,2.250000,46.000000,2397,28.634690,-0.064541,0.009751,0.333189,-0.000745,581.920100,37,134,20251121,2025-09-10 13:15:51.440394,480.0,485.0,P,QQQ
QQQ US 11/21/25 C488 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,488.0,C,QQQ
QQQ US 11/21/25 P488 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,488.0,P,QQQ
QQQ US 11/21/25 C490 Equity,99.070000,97.340000,98.150000,1.000000,688,27.970710,0.922646,0.010972,0.382824,0.008660,581.920100,84,84,20251121,2025-09-10 13:15:51.440394,480.0,490.0,C,QQQ
QQQ US 11/21/25 P490 Equity,2.460000,2.440000,2.460000,1523.000000,2683,28.031230,-0.071290,0.010766,0.359803,-0.000823,581.920100,105,68,20251121,2025-09-10 13:15:51.440394,480.0,490.0,P,QQQ
QQQ US 11/21/25 C518 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,518.0,C,QQQ
QQQ US 11/21/25 P518 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,518.0,P,QQQ
QQQ US 11/21/25 C520 Equity,70.980000,69.600000,70.220000,111.000000,1029,24.323930,0.867499,0.018927,0.566166,0.008579,581.990000,89,64,20251121,2025-09-10 13:15:51.440394,480.0,520.0,C,QQQ
QQQ US 11/21/25 P520 Equity,4.390000,4.380000,4.410000,5356.000000,20954,24.469980,-0.129797,0.019164,0.557809,-0.001459,581.990000,27,71,20251121,2025-09-10 13:15:51.440394,480.0,520.0,P,QQQ
QQQ US 11/21/25 C522 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,522.0,C,QQQ
QQQ US 11/21/25 P522 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,522.0,P,QQQ
QQQ US 11/21/25 C525 Equity,64.830000,65.090000,65.820000,14.000000,1643,23.757670,0.863703,0.020694,0.577338,0.008639,581.990000,25,10,20251121,2025-09-10 13:15:51.440394,480.0,525.0,C,QQQ
QQQ US 11/21/25 P525 Equity,4.890000,4.860000,4.880000,6548.000000,4040,23.883560,-0.144778,0.021159,0.600606,-0.001611,581.990000,9,45,20251121,2025-09-10 13:15:51.440394,480.0,525.0,P,QQQ
QQQ US 11/21/25 C528 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,528.0,C,QQQ
QQQ US 11/21/25 P528 Equity,,,,,,,,,,,,,,20251121,2025-09-10 13:15:51.440394,480.0,528.0,P,QQQ
